parcel_number,sale_date,sale_price,number_of_bedrooms,number_of_bathrooms,total_livable_area,year_built,zip_code,category_code,exterior_condition,interior_condition,x_coord,y_coord
888057526,2024/3/18,252830,1,1,1049,1900,19107,1,4,4,2694789.357,238306.3514
888154724,2024/3/7,30000,1,1,840,2017,19130,1,1,1,2692369.38,242318.7144
888053763,2024/2/29,255000,1,1,1146,1900,19123,1,4,3,2694529.424,238580.4001
888210022,2024/4/4,150000,1,1,769,1960,19128,1,4,4,2679169.694,266762.1327
888211966,2024/3/22,212620,1,1,764,1900,19128,1,3,3,2673093.862,269505.6105
888300312,2024/3/12,277000,1,1,860,1900,19146,1,3,3,2689663.313,233311.5497
888080803,2024/3/8,294500,1,1,789,1977,19102,1,4,3,2692933.467,234488.572
888580718,2024/3/11,165000,1,1,672,1979,19115,1,4,4,2729772.846,290545.0773
888001212,2024/3/15,260000,1,1,814,2022,19130,1,1,1,2692989.229,242580.9131
888053517,2024/3/29,250000,1,1,675,1880,19106,1,4,4,2699346.889,235536.0377
888303084,2024/3/15,269000,1,1,480,1900,19146,1,3,3,2688207.089,234007.1205
888087434,2024/3/22,280000,1,1,820,1900,19102,1,4,4,2692998.423,235483.796
888061894,2023/4/2,285000,1,1,730,2006,19123,1,3,3,2701562.464,239764.2894
888114680,2024/3/15,278190,1,1,772,1900,19102,1,4,3,2692879.342,235546.7254
888650225,2024/4/2,225000,1,1,1441,1972,19114,1,4,4,2742644.251,272024.7912
888091042,2023/4/3,220000,1,1,674,1970,19130,1,3,4,2691010.677,239862.1803
888520616,2024/3/28,145000,1,1,940,1970,19131,1,4,4,2682211.042,254532.9187
888091506,2024/2/1,263500,1,1,687,1970,19130,1,4,3,2691010.677,239862.1803
888080390,2023/11/27,185000,1,1,624,1977,19102,1,4,4,2692933.467,234488.572
888660570,2024/1/26,170000,1,1,630,1970,19154,1,4,4,2743964.249,289446.6776
888270094,2024/1/18,325000,1,1,707,1800,19104,1,3,3,2681172.306,235210.9367
888561027,2024/1/30,106000,1,1,737,1960,19152,1,4,4,2723572.245,272896.5529
888520251,2024/2/2,107400,1,1,578,1960,19131,1,4,3,2680382.06,252654.4392
888112296,2024/1/31,186000,1,1,618,1900,19103,1,3,3,2690099.004,236117.8807
888080415,2024/1/26,285000,1,1,726,1977,19102,1,4,3,2692933.467,234488.572
888303955,2024/1/29,285000,1,1,760,1915,19146,1,3,3,2689423.115,232136.8444
888050994,2024/1/26,315000,1,1,778,1973,19106,1,4,4,2696743.566,233862.1096
888050627,2024/1/23,400000,1,1,1063,1973,19106,1,4,4,2696743.566,233862.1096
888650765,2024/1/30,180000,1,1,806,1972,19114,1,4,4,2741507.823,272544.986
888056760,2024/1/22,245000,1,1,507,1870,19106,1,4,4,2698596.191,237479.9456
888052197,2024/1/12,253000,1,1,699,1963,19106,1,4,4,2698810.57,233766.7558
888090986,2024/1/25,229000,1,1,674,1970,19130,1,4,3,2691010.677,239862.1803
888111778,2024/2/1,182000,1,1,618,1900,19103,1,3,4,2690099.004,236117.8807
888087422,2024/2/15,275000,1,1,761,1900,19102,1,4,3,2692998.423,235483.796
888303238,2024/2/16,345000,1,1,1090,2007,19147,1,4,3,2693325.111,232815.6885
888053771,2024/2/14,259900,1,1,1146,1900,19123,1,3,3,2694529.424,238580.4001
888087340,2024/2/14,255000,1,1,736,1900,19102,1,4,3,2692998.423,235483.796
888057568,2024/1/24,280000,1,1,1049,1900,19107,1,4,4,2694789.357,238306.3514
888064852,2024/2/1,310000,1,1,852,1995,19147,1,3,4,2699982.327,231472.9681
888520210,2024/1/31,140000,1,1,986,1960,19131,1,4,4,2680382.06,252654.4392
888094386,2024/1/31,325000,1,1,743,2008,19103,1,3,3,2690193.575,236749.7768
888113446,2024/2/16,235000,1,1,712,1900,19146,1,4,3,2692492.976,230698.1163
888020762,2024/2/9,219000,1,1,450,1900,19147,1,4,4,2698257.972,230410.6674
888570115,2024/2/22,150000,1,1,803,1965,19152,1,4,4,2729090.639,280089.1097
888081429,2024/2/15,575000,1,1,879,1970,19103,1,4,4,2690736.516,234838.8131
888081422,2024/2/9,288888,1,1,573,1970,19103,1,4,3,2690736.516,234838.8131
888630418,2024/3/1,294500,1,1,1118,2011,19111,1,3,3,2718381.65,284149.4028
888080710,2024/3/1,314000,1,1,870,1977,19102,1,4,3,2692933.467,234488.572
888054942,2024/2/16,325000,1,1,850,1971,19106,1,3,3,2698989.481,233215.1336
888093228,2024/1/24,340000,1,1,1031,1900,19123,1,4,3,2698402.848,238763.2704
888651038,2024/2/29,95000,1,1,708,1960,19136,1,4,3,2731541.933,268501.8655
888582261,2024/2/29,172000,1,1,493,1960,19116,1,4,4,2731366.305,300696.4645
888092836,2024/2/9,315000,1,1,661,1900,19103,1,3,3,2691632.172,234933.6852
888088024,2024/2/15,470000,1,1,798,1900,19103,1,3,3,2689885.592,234214.0889
888059878,2023/12/27,295000,1,1,1149,2008,19123,1,3,3,2699203.511,241209.0664
888086770,2023/12/5,440000,1,1,1058,1900,19103,1,4,4,2691688.533,235895.5875
888580694,2023/12/14,170000,1,1,672,1979,19115,1,4,4,2729772.846,290545.0773
888211620,2023/12/12,153000,1,1,699,2004,19128,1,3,3,2676416.231,263519.7928
888072580,2023/12/28,187500,1,1,632,1950,19130,1,4,4,2688582.069,241966.4435
392000001,2023/12/19,274999,1,1,944,2024,19148,1,1,1,2696385.89,225077.972
888050115,2024/1/2,230000,1,1,650,1985,19147,1,4,4,2698434.255,232364.8469
888050078,2023/12/29,195000,1,1,626,1985,19147,1,4,4,2698434.255,232364.8469
888582926,2023/12/21,164000,1,1,654,1960,19116,1,4,4,2730088.446,296831.4551
888071719,2023/12/25,175000,1,1,564,1900,19107,1,4,4,2695152.407,237682.4064
888038366,2023/12/20,290000,1,1,763,1900,19106,1,4,4,2698475.56,236369.0551
888302402,2023/12/14,430000,1,1,996,2012,19146,1,3,3,2687181.199,232996.6694
888520658,2024/1/3,155000,1,1,940,1970,19131,1,4,3,2682211.042,254532.9187
21032300,2023/12/30,395000,1,1,1036,1920,19147,1,4,3,2695809.521,230907.109
888151340,2024/1/25,305000,1,1,1093,1900,19130,1,4,3,2692516.933,241132.5403
888520020,2024/1/4,87000,1,1,986,1960,19131,1,4,4,2680382.06,252654.4392
888087370,2024/1/4,255000,1,1,741,1900,19102,1,4,3,2692998.423,235483.796
888051015,2024/1/12,410000,1,1,1063,1973,19106,1,4,3,2696743.566,233862.1096
888071568,2024/1/12,180000,1,1,676,1910,19107,1,4,4,2695475.035,237194.8182
888091730,2024/1/16,279000,1,1,716,1970,19130,1,4,3,2691010.677,239862.1803
